#{"t_start": 1733242022.1254387, "env_id": "LunarLander-v3"}
r,l,t
-168.778452,107,3.376005
-116.789359,89,3.580735
-551.412272,102,3.832162
-441.721161,118,4.133807
-244.115459,96,4.368334
-124.659758,72,4.573402
-204.567011,110,4.84182
-115.44467,97,5.076601
-67.956279,66,5.252892
-169.599367,108,5.51787
-105.794995,128,5.847624
-89.259739,61,5.99842
-246.470944,85,6.235054
-444.908141,124,6.570606
-174.661423,80,6.792978
-311.546083,113,7.141762
-219.170012,87,7.408907
-56.974965,77,7.615768
-144.356088,69,7.815818
-437.497032,87,8.04984
-191.710417,86,8.292288
-104.704474,65,8.483613
-78.390145,93,8.730948
-199.13229,98,8.993421
-55.477687,76,9.21664
-221.936545,97,9.511773
-71.71799,63,9.717872
-113.5761,96,10.023716
-73.885444,81,10.254895
-154.314758,85,10.504256
-26.209851,121,10.848485
-132.561736,106,11.139758
-131.935132,116,11.56773
-131.644951,91,11.898115
-160.279659,82,12.138308
-270.211174,73,12.379655
-208.602666,109,12.687273
-120.394617,78,12.928795
-62.528011,74,13.192561
-97.677274,68,13.409462
-220.163305,131,13.81914
102.302341,1000,17.146775
-270.212992,97,17.435377
-91.95408,107,17.761606
-135.155501,78,18.034272
-192.923121,83,18.287203
-234.496427,140,18.704371
-272.96245,101,18.989844
-83.856474,105,19.293229
-134.465477,90,19.598886
-93.866042,90,19.900207
-84.501713,69,20.162431
-113.029625,76,20.446562
-304.941193,114,20.872691
-260.394327,106,21.233874
-157.294003,94,21.538977
-158.111535,81,21.810559
-129.255294,111,22.178475
-104.163976,104,22.544067
-48.958096,120,22.965211
-180.77737,74,23.230732
-65.723332,59,23.425536
-95.500038,123,23.924227
-273.867229,132,24.39037
-109.587745,88,24.724923
-94.486852,123,25.191314
-157.71692,106,25.536119
-358.216143,92,25.849551
-88.586079,88,26.158399
-197.294784,131,26.57452
-237.532015,109,26.946991
-89.786225,103,27.350254
-122.754493,149,27.837977
-50.815359,106,28.214411
-84.728093,142,28.76824
-16.15521,100,29.236045
-104.861304,147,29.963058
-34.606456,78,30.34271
-67.125633,91,30.708213
-301.443999,153,31.199897
-146.661173,96,31.487588
-115.891398,112,31.827772
-77.499695,84,32.096259
-100.701906,85,32.401624
-266.817705,100,32.797046
-216.313723,92,33.166931
-138.584068,124,33.606359
-143.196816,106,33.971601
-58.371373,73,34.345294
-85.112957,102,34.686236
-108.022148,71,34.940749
-97.113462,102,35.275851
-262.866832,124,35.758933
-83.75659,92,36.131745
-119.087942,124,36.569884
-91.537132,139,37.01331
-110.656036,110,37.405194
-96.199332,72,37.72486
-109.106938,114,38.268959
-129.822566,116,38.829152
-56.400554,86,39.125652
-117.396757,55,39.32746
-68.353341,134,39.847982
-239.84434,152,40.420625
-122.856151,117,40.927203
-92.838913,105,41.323159
-120.239405,88,41.692147
-70.845919,73,42.024554
-84.221332,70,42.33674
-100.789732,83,42.715733
-201.49207,111,43.214765
-287.243805,120,43.707753
-28.00017,79,44.03928
-93.271094,91,44.400633
-372.03204,144,45.058747
-104.288021,125,45.51025
-125.429922,130,46.00809
-129.328444,112,46.411928
-70.726525,158,47.069525
-53.702282,120,47.589812
-57.332635,67,47.829076
-98.898153,127,48.392003
-38.849066,66,48.641831
-51.915344,85,49.002683
-45.909449,107,49.444591
-93.904837,96,49.88961
-56.239851,106,50.363115
-72.737292,65,50.641198
-57.281859,74,50.951715
-268.870044,146,51.616169
-59.682907,124,52.148211
-43.89779,86,52.480183
-106.879459,133,52.95602
-35.250879,123,53.539145
-110.382671,131,54.08207
-98.148887,99,54.515093
-82.458487,95,54.937665
-137.814315,115,55.461214
-53.030695,109,55.889724
-227.596226,143,56.374573
-75.025219,87,56.639421
-131.097216,98,56.971699
-82.6739,144,57.506971
-62.302642,74,57.759155
-71.302483,99,58.10419
-94.590008,109,58.527343
-129.726031,96,58.864404
-45.036095,143,59.384383
-80.081707,104,59.785046
-87.874054,125,60.342133
-20.261149,107,60.776051
-82.145909,137,61.218043
-64.080069,82,61.528821
-79.334104,91,61.872657
-14.569772,96,62.204056
-40.378644,161,62.728025
-116.565569,73,62.992002
-65.949969,110,63.499245
-48.484793,69,63.819348
-139.74963,80,64.200938
-79.762539,87,64.607406
-31.754531,80,64.91356
-68.827611,92,65.215358
-305.650948,154,65.728009
-49.406735,118,66.198424
-85.485054,112,66.680867
-60.768482,131,67.246738
-240.171843,108,67.734357
-152.572163,101,68.196504
-20.568978,217,69.132697
-45.186426,65,69.362821
-82.513195,97,69.715992
-80.763926,108,70.110862
22.969986,130,70.587183
-0.802961,132,71.064539
-82.17763,135,71.605202
-48.943721,154,72.255172
-187.629604,146,72.947623
13.511593,161,73.560569
-22.327536,111,73.957598
-69.746444,116,74.395292
-140.194869,126,74.872542
-24.924164,119,75.317137
