#{"t_start": 1733240389.3005474, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,2.313576
-200.0,200,2.322176
-200.0,200,2.329884
-200.0,200,2.344071
-200.0,200,2.352753
-200.0,200,3.626946
-200.0,200,3.870384
-200.0,200,4.083788
-200.0,200,4.409828
-200.0,200,4.642398
-200.0,200,4.915435
-200.0,200,5.158279
-200.0,200,5.442235
-200.0,200,5.703916
-200.0,200,5.988994
-200.0,200,6.262942
-200.0,200,6.53348
-200.0,200,6.802512
-200.0,200,7.142967
-200.0,200,7.439953
-200.0,200,7.75447
-200.0,200,8.021204
-200.0,200,8.300517
-200.0,200,8.579108
-200.0,200,8.927613
-200.0,200,9.224462
-200.0,200,9.547544
-200.0,200,9.871688
-200.0,200,10.201067
-200.0,200,10.506749
-200.0,200,10.86219
-200.0,200,11.211796
-200.0,200,11.593188
-200.0,200,11.90717
-200.0,200,12.259647
-200.0,200,12.548552
-200.0,200,12.854143
-200.0,200,13.139572
-200.0,200,13.472868
-200.0,200,13.780927
-200.0,200,14.112715
-200.0,200,14.399746
-200.0,200,14.747485
-200.0,200,15.101649
-200.0,200,15.479298
-200.0,200,15.814939
-200.0,200,16.130995
-200.0,200,16.41919
-200.0,200,16.728934
-200.0,200,17.049404
-200.0,200,17.386535
-200.0,200,17.689154
-200.0,200,18.004025
-200.0,200,18.317693
-200.0,200,18.686609
-200.0,200,19.013475
-200.0,200,19.355222
-200.0,200,19.671247
-200.0,200,20.098366
-200.0,200,20.433281
-200.0,200,20.765257
-200.0,200,21.044301
-200.0,200,21.354048
-200.0,200,21.690388
-200.0,200,22.055979
-200.0,200,22.360349
-200.0,200,22.707728
-200.0,200,23.049643
-200.0,200,23.391752
-200.0,200,23.695334
-200.0,200,24.009776
-200.0,200,24.314277
-200.0,200,24.645012
-200.0,200,24.999459
-200.0,200,25.357341
-200.0,200,25.71021
-200.0,200,26.068848
-200.0,200,26.448766
-200.0,200,26.913651
-200.0,200,27.284419
-200.0,200,27.673021
-200.0,200,28.016799
-200.0,200,28.403184
-200.0,200,28.812755
-200.0,200,29.201815
-200.0,200,29.560284
-200.0,200,29.932513
-200.0,200,30.334658
-200.0,200,30.768092
-200.0,200,31.184803
-200.0,200,31.580066
-200.0,200,31.95435
-200.0,200,32.34268
-200.0,200,32.700238
-200.0,200,33.098934
-200.0,200,33.483119
-200.0,200,33.888149
-200.0,200,34.262448
-200.0,200,34.698866
