#{"t_start": 1733292345.6618145, "env_id": "LunarLander-v3"}
r,l,t
-117.81855,72,2.525824
-88.754893,104,2.929935
-269.809257,101,3.088094
-358.477184,92,3.216156
-283.957243,77,3.337398
-98.914443,83,3.580771
-489.347182,109,3.741838
-172.697295,120,3.952132
-401.499817,159,4.206731
-99.523925,102,4.410012
-50.366689,92,4.5901
-130.646183,81,4.712804
-336.859829,113,4.916208
-79.687526,76,5.039169
-92.475279,64,5.123618
-376.057157,93,5.326166
-309.952058,134,5.530127
-175.510467,85,5.695499
-91.735849,69,5.821012
-316.108635,86,5.945208
-105.428023,154,6.229245
-127.300204,63,6.348934
-240.844625,89,6.46963
-105.548172,90,6.645236
-239.987687,131,6.862018
-82.899384,76,7.011052
-96.764108,100,7.178489
-29.352114,68,7.295802
-133.243259,78,7.414608
-332.585414,98,7.584421
-93.379405,70,7.729549
-226.211891,128,9.381765
-83.164041,64,11.151648
-137.063272,70,13.061836
-107.289088,56,14.666684
-130.152486,59,16.337605
-174.387016,67,18.187155
-113.688067,62,19.812675
-134.961545,64,21.710299
-116.587954,57,23.389463
-168.560556,64,25.16754
-2.155704,53,26.568207
-168.404131,62,28.295367
-121.585494,71,30.257092
-151.411873,68,32.121911
-187.225607,76,34.133785
-124.522388,79,36.309595
-134.14922,64,38.110408
-281.162667,80,40.326822
-125.924201,57,41.970236
-144.972901,67,43.784133
-113.871044,59,45.353962
-107.863951,86,47.672253
-121.7105,68,49.542423
-137.884312,79,51.736361
-128.923652,75,53.733718
-189.023696,73,55.708972
-142.682723,62,57.41725
-149.185534,64,59.234287
-140.469025,69,61.265595
-122.957209,58,62.98524
-221.225315,100,65.736598
4.157091,65,67.539109
-119.309237,87,69.85305
-134.652299,74,71.882751
-145.328109,53,73.26674
-154.318559,78,75.285887
-130.667398,64,77.030936
-202.286669,84,79.110758
-112.118539,54,80.391268
-143.947741,80,82.306806
-151.98131,71,84.069737
-108.19129,58,85.531685
-117.961015,53,86.833031
-122.094823,54,88.120278
-136.709868,66,89.810098
-169.475618,72,91.677153
-122.257211,60,93.193136
-141.131959,78,95.133394
-116.59373,85,97.208669
-144.078929,74,99.100825
-130.173256,64,100.647504
-107.148919,83,102.890656
-116.630051,59,104.497403
-106.02502,83,106.606763
-123.489271,56,108.085415
-111.664652,57,109.527792
-138.842091,72,111.334937
-167.567217,61,113.062759
-111.740004,65,114.752079
