#{"t_start": 1733323668.010893, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,4.286252
-200.0,200,4.606265
-200.0,200,6.77473
-200.0,200,10.854012
-200.0,200,15.813657
-200.0,200,20.68329
-200.0,200,25.55068
-200.0,200,30.50057
-200.0,200,35.45278
-200.0,200,40.625756
-200.0,200,46.128321
-200.0,200,50.928977
-200.0,200,55.889304
-200.0,200,60.831558
-200.0,200,65.873426
-200.0,200,70.592871
-200.0,200,74.821643
-200.0,200,79.418895
-200.0,200,83.96536
-200.0,200,88.472953
-200.0,200,92.922148
-200.0,200,97.376019
-200.0,200,102.507858
-200.0,200,108.077205
-200.0,200,112.785633
-200.0,200,117.258772
-200.0,200,121.999598
-200.0,200,126.72409
-200.0,200,131.384063
-200.0,200,135.982302
-200.0,200,140.760418
-200.0,200,145.522466
-200.0,200,150.414686
-200.0,200,155.450391
-200.0,200,160.276547
-200.0,200,165.052437
-200.0,200,169.988932
-200.0,200,175.937476
-168.0,168,179.865617
-200.0,200,184.443066
-200.0,200,188.990151
-200.0,200,193.365728
-200.0,200,198.449745
-193.0,193,203.004738
-200.0,200,208.285106
-200.0,200,212.879048
-200.0,200,217.356748
-200.0,200,222.043301
-200.0,200,226.914416
-200.0,200,231.803299
-163.0,163,237.233512
-200.0,200,242.09309
-200.0,200,246.698079
-200.0,200,251.111107
-200.0,200,255.484397
-200.0,200,259.718072
-200.0,200,264.783996
-200.0,200,269.998753
-200.0,200,274.424583
-200.0,200,278.952835
-172.0,172,282.830043
-200.0,200,287.657058
-200.0,200,292.740525
-188.0,188,297.060346
-200.0,200,301.629364
-200.0,200,306.166041
-200.0,200,310.561208
-193.0,193,314.797602
-200.0,200,319.137714
-200.0,200,323.80473
-200.0,200,328.317458
-200.0,200,332.864855
-200.0,200,337.205819
-200.0,200,341.867811
-197.0,197,346.435017
-200.0,200,351.173894
-200.0,200,355.930285
-200.0,200,360.929962
-200.0,200,365.826835
-200.0,200,370.762763
-200.0,200,374.867657
-200.0,200,379.563733
-200.0,200,384.313734
-200.0,200,388.356508
-200.0,200,392.41836
-127.0,127,395.30362
-200.0,200,400.156489
-180.0,180,404.137932
-159.0,159,407.297266
-200.0,200,411.750798
-200.0,200,416.480154
-200.0,200,421.212615
-200.0,200,426.001615
-200.0,200,430.468842
-200.0,200,435.380826
-200.0,200,439.815867
-200.0,200,444.142847
-200.0,200,448.560766
-200.0,200,452.743226
-200.0,200,456.82115
-200.0,200,460.990342
-200.0,200,465.477787
-200.0,200,469.917495
-200.0,200,474.206405
-200.0,200,478.576302
-200.0,200,483.208277
-200.0,200,487.804834
-200.0,200,492.317973
-200.0,200,496.532497
-200.0,200,500.808164
-200.0,200,505.069963
-200.0,200,509.507134
-200.0,200,514.2237
-200.0,200,518.472586
-186.0,186,522.395322
-200.0,200,526.229541
-185.0,185,529.985243
-197.0,197,534.12225
-200.0,200,538.217929
-161.0,161,541.627567
-200.0,200,545.426621
-200.0,200,549.435582
-179.0,179,553.242086
-200.0,200,557.347389
-164.0,164,560.555725
-155.0,155,563.727504
-151.0,151,566.820572
-200.0,200,571.573191
-194.0,194,575.744885
-200.0,200,579.977945
-200.0,200,584.149031
-200.0,200,588.314456
-200.0,200,592.199829
-158.0,158,595.335934
-200.0,200,599.507381
-200.0,200,603.444038
-198.0,198,607.532006
-200.0,200,611.628157
-200.0,200,615.706422
-195.0,195,619.683487
-153.0,153,622.984931
-200.0,200,626.740156
-200.0,200,630.479631
-200.0,200,634.391728
-200.0,200,638.744616
-191.0,191,642.90282
-200.0,200,646.835892
-200.0,200,650.554118
-200.0,200,654.605949
-192.0,192,658.421489
-200.0,200,662.41974
-200.0,200,666.176498
-200.0,200,670.273657
-200.0,200,673.965984
-200.0,200,677.879414
-200.0,200,681.880618
-200.0,200,686.537942
-200.0,200,690.734456
-200.0,200,694.816174
-200.0,200,698.806855
-200.0,200,703.104083
-200.0,200,707.404304
-200.0,200,711.477082
-200.0,200,715.761336
-200.0,200,719.884367
-200.0,200,724.320884
-200.0,200,728.57423
-197.0,197,732.485435
-200.0,200,736.409232
-200.0,200,740.496545
-200.0,200,744.489431
-200.0,200,748.497224
-200.0,200,752.605443
-200.0,200,756.391917
-200.0,200,760.43497
-200.0,200,764.361322
-200.0,200,768.265307
-200.0,200,772.155786
-200.0,200,776.04635
-200.0,200,780.096779
-200.0,200,783.948788
-200.0,200,787.661786
-200.0,200,791.276901
-200.0,200,794.797686
-200.0,200,798.582329
-200.0,200,802.356359
-200.0,200,806.096777
-200.0,200,809.575663
-200.0,200,813.076514
-200.0,200,816.77822
-200.0,200,820.059213
-200.0,200,823.790848
-200.0,200,827.779828
-200.0,200,831.314018
-200.0,200,835.220691
-200.0,200,838.852179
-200.0,200,842.559484
-200.0,200,846.507485
-189.0,189,850.200486
-200.0,200,853.866129
-200.0,200,857.403545
-200.0,200,860.037025
-200.0,200,863.327315
-151.0,151,866.080986
-200.0,200,869.691563
-200.0,200,873.380845
-200.0,200,877.283224
-200.0,200,880.705727
-200.0,200,884.270828
-200.0,200,887.651527
-156.0,156,890.124464
-200.0,200,893.368875
-200.0,200,896.752548
-134.0,134,899.232919
-200.0,200,902.391916
-200.0,200,905.758758
-200.0,200,909.247313
-166.0,166,912.025954
-136.0,136,914.171067
-171.0,171,917.149375
-150.0,150,919.701393
-200.0,200,923.05028
-119.0,119,925.133094
