#{"t_start": 1733828281.8694558, "env_id": "LunarLander-v3"}
r,l,t
-236.224819,88,4.97053
-121.652786,105,5.124484
-81.445276,120,5.354067
-161.892177,86,5.467753
-283.522438,109,5.73844
-369.579014,94,5.892976
-244.249566,108,6.053312
-187.04424,126,6.268059
-104.815538,69,6.385845
-388.896597,98,6.593467
-83.950789,66,6.679125
-295.737706,88,6.843459
-129.719358,88,6.967691
-187.560723,103,7.134418
-199.480364,98,7.287961
-152.119628,95,7.478773
-59.549449,100,7.657995
-239.452705,85,7.845101
-244.875182,118,8.01777
-134.923424,81,8.148944
-238.253392,77,8.35814
-186.952012,69,8.450591
-113.384289,61,8.595524
-342.616728,95,8.758422
-157.310045,102,8.932345
-155.267419,67,9.009281
-70.845803,73,9.133138
-63.594484,140,9.438847
-97.651721,106,9.615043
-348.641906,96,9.79569
-104.574424,64,9.901011
-88.045678,70,10.022295
-327.42206,90,10.23271
-113.104411,104,10.407049
-77.724435,77,10.530701
-159.336023,68,10.665083
-130.962413,63,10.749553
-396.035403,148,11.025176
-63.423159,100,11.247876
-293.548272,75,11.390025
-369.336542,124,11.627336
-179.484835,106,11.799675
-106.307686,72,11.950091
-39.58066,89,12.187125
-124.516205,85,12.317652
-295.698906,159,12.663477
-208.841399,104,12.848742
-303.479245,77,12.999045
-328.918254,84,13.173551
-258.784149,103,13.338131
-119.986076,117,13.558032
-167.321459,85,13.683007
-162.190283,72,13.806743
-194.926987,116,14.055831
-399.466328,112,14.229362
-273.36747,112,14.441106
-202.729375,120,14.645302
-298.409139,98,14.850323
-402.847601,92,14.975681
-420.106782,100,15.14039
-117.971096,84,15.313438
-133.87896,62,15.401908
-391.799812,124,15.608659
-53.584241,62,15.78214
-83.373073,68,15.869392
-113.49819,105,16.076022
-173.015311,86,16.211977
-78.249771,104,16.399672
-151.754182,74,16.544543
-93.363715,68,16.735338
-151.398014,106,16.89201
-255.201417,80,17.010729
-97.31199,70,17.148465
-120.754642,100,17.313177
-103.201532,93,17.473517
-53.159853,109,17.677322
-252.029082,125,17.880327
-94.058112,111,18.089637
-82.495785,65,18.171077
-411.433146,119,18.409596
-101.016286,123,18.624463
-411.484267,124,18.842376
-118.689211,76,18.976079
-69.105038,70,19.097317
-89.433283,74,19.238481
-86.697552,81,19.421507
-231.345459,126,19.661397
-127.404558,68,19.8058
