#{"t_start": 1733392773.9881806, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,4.032865
-200.0,200,4.368791
-200.0,200,8.23418
-200.0,200,16.295424
-200.0,200,25.429863
-200.0,200,33.736549
-200.0,200,42.451811
-200.0,200,50.741749
-200.0,200,58.709168
-200.0,200,67.353831
-200.0,200,76.579373
-200.0,200,85.28873
-200.0,200,93.161753
-200.0,200,100.970792
-200.0,200,108.784977
-200.0,200,117.402876
-200.0,200,126.455056
-175.0,175,134.410615
-200.0,200,143.338638
-200.0,200,151.466818
-200.0,200,159.788859
-200.0,200,167.959726
-200.0,200,176.215631
-200.0,200,183.719093
-200.0,200,191.701474
-200.0,200,200.520088
-200.0,200,209.088707
-200.0,200,216.762171
-200.0,200,223.990551
-200.0,200,231.906563
-200.0,200,240.702835
-200.0,200,249.094205
-200.0,200,257.626507
-200.0,200,265.982539
-200.0,200,273.87376
-200.0,200,282.614566
-200.0,200,291.225096
-200.0,200,298.510439
-200.0,200,307.05988
-200.0,200,315.51594
-200.0,200,323.757533
-200.0,200,331.602957
-200.0,200,340.404655
-200.0,200,348.826107
-200.0,200,357.235815
-200.0,200,367.161302
-200.0,200,376.807869
-200.0,200,384.549469
-200.0,200,393.876343
-200.0,200,403.394857
-200.0,200,414.242252
-200.0,200,423.558957
-200.0,200,432.662877
-200.0,200,440.301711
-200.0,200,446.739534
-200.0,200,453.401721
-200.0,200,461.011215
-200.0,200,468.365036
-200.0,200,476.328964
-200.0,200,485.337083
-200.0,200,493.101708
-200.0,200,501.95699
-200.0,200,510.567307
-200.0,200,517.510213
-200.0,200,525.532588
-200.0,200,534.260792
-200.0,200,542.513989
-145.0,145,548.457075
-200.0,200,555.360951
-200.0,200,562.935337
-200.0,200,570.243137
-200.0,200,577.390752
-200.0,200,584.516547
-200.0,200,591.592543
-200.0,200,598.272091
-200.0,200,605.756847
-179.0,179,613.551611
-200.0,200,620.497951
-174.0,174,626.221156
-200.0,200,633.76354
-200.0,200,640.373358
-200.0,200,646.735645
-200.0,200,653.358589
-200.0,200,660.749918
-200.0,200,667.713304
-185.0,185,673.803843
-200.0,200,681.424637
-200.0,200,689.059113
-200.0,200,696.069021
-200.0,200,703.158433
-200.0,200,710.15942
-172.0,172,716.449897
-165.0,165,722.918123
-173.0,173,730.400551
-200.0,200,738.587148
-200.0,200,747.208982
-188.0,188,754.992608
-200.0,200,762.56635
-189.0,189,770.26946
-169.0,169,776.36342
-168.0,168,783.54228
-178.0,178,790.723221
-176.0,176,797.588268
-200.0,200,804.803448
-181.0,181,810.573869
-200.0,200,817.992417
-200.0,200,824.294086
-200.0,200,831.400017
-130.0,130,836.829973
-200.0,200,844.257028
-200.0,200,851.17085
-200.0,200,858.302459
-200.0,200,865.217995
-200.0,200,872.186414
-200.0,200,879.388803
-191.0,191,886.255114
-200.0,200,892.769808
-189.0,189,899.575345
-159.0,159,904.436068
-200.0,200,911.459839
-200.0,200,918.16356
-200.0,200,924.642989
-144.0,144,929.137305
-146.0,146,933.332474
-200.0,200,939.477651
-165.0,165,944.791678
-200.0,200,951.126939
-200.0,200,957.12904
-200.0,200,964.172952
-200.0,200,970.284958
-139.0,139,974.645489
-192.0,192,980.505751
-165.0,165,985.504744
-120.0,120,989.427697
-200.0,200,995.547829
-200.0,200,1002.002154
-196.0,196,1008.245581
-200.0,200,1014.838619
-200.0,200,1020.910895
-200.0,200,1027.095604
-148.0,148,1031.68101
-196.0,196,1037.467306
-200.0,200,1043.459333
-159.0,159,1048.12697
-200.0,200,1054.226599
-200.0,200,1059.755771
-177.0,177,1064.930066
-170.0,170,1070.092698
-144.0,144,1074.67485
-182.0,182,1081.259495
-200.0,200,1088.469685
-118.0,118,1092.63435
-200.0,200,1099.777354
-200.0,200,1106.280391
-185.0,185,1112.557425
-200.0,200,1118.869848
-200.0,200,1125.274993
-189.0,189,1131.344326
-200.0,200,1138.525693
-200.0,200,1145.542723
-200.0,200,1152.036219
-200.0,200,1158.216544
-191.0,191,1164.406943
-200.0,200,1170.219254
-200.0,200,1175.758957
-174.0,174,1181.454153
-163.0,163,1186.611894
-200.0,200,1193.196104
-200.0,200,1199.415645
-200.0,200,1205.317741
-200.0,200,1211.579097
-166.0,166,1216.684803
-200.0,200,1223.190833
-161.0,161,1228.413393
-158.0,158,1233.117051
-200.0,200,1239.358193
-200.0,200,1245.329127
-200.0,200,1251.36531
-200.0,200,1257.140743
-153.0,153,1261.939917
-200.0,200,1267.772569
-130.0,130,1271.333268
-166.0,166,1276.428576
-198.0,198,1281.857729
-200.0,200,1287.517311
-200.0,200,1292.732724
-200.0,200,1297.932484
-200.0,200,1303.50808
-197.0,197,1308.75624
-187.0,187,1313.519306
-200.0,200,1319.020256
-143.0,143,1323.082431
-200.0,200,1328.417555
-197.0,197,1334.031762
-191.0,191,1338.528935
-200.0,200,1343.9384
-200.0,200,1349.149092
-116.0,116,1352.432095
-174.0,174,1357.074709
-166.0,166,1361.676447
-155.0,155,1366.108634
-116.0,116,1369.479235
-172.0,172,1374.264619
-162.0,162,1378.572601
-200.0,200,1384.211448
-200.0,200,1390.056822
-200.0,200,1395.581734
-151.0,151,1399.49719
-193.0,193,1404.737647
-187.0,187,1409.575765
-188.0,188,1414.399868
-162.0,162,1418.936896
-200.0,200,1423.919523
-200.0,200,1429.46111
-131.0,131,1432.797528
-200.0,200,1439.159303
-149.0,149,1444.195464
-166.0,166,1449.017923
-156.0,156,1453.748552
-154.0,154,1458.531471
-153.0,153,1463.792059
-168.0,168,1468.819742
-200.0,200,1474.608165
-200.0,200,1480.035121
-174.0,174,1485.190647
-200.0,200,1491.473468
-156.0,156,1495.764071
-190.0,190,1501.422743
-200.0,200,1506.988039
-124.0,124,1510.951084
-200.0,200,1517.11811
-200.0,200,1522.702514
-200.0,200,1528.28574
-195.0,195,1533.736882
-178.0,178,1538.702128
-200.0,200,1544.73588
-155.0,155,1549.072203
-149.0,149,1552.826227
-200.0,200,1557.744499
-200.0,200,1562.344038
-200.0,200,1567.178268
-158.0,158,1571.218614
-153.0,153,1574.495764
-152.0,152,1577.931568
-200.0,200,1582.960794
-153.0,153,1586.681551
-159.0,159,1590.995754
-159.0,159,1595.042276
-91.0,91,1597.94511
-179.0,179,1602.548304
-170.0,170,1606.988067
-200.0,200,1611.78109
-156.0,156,1616.064604
-200.0,200,1621.283863
-200.0,200,1625.58944
-175.0,175,1629.547399
-200.0,200,1634.335352
-161.0,161,1638.655278
-174.0,174,1642.434498
-176.0,176,1646.77258
-156.0,156,1650.614748
-200.0,200,1654.605239
-200.0,200,1659.000247
-197.0,197,1663.673612
-200.0,200,1668.441768
-200.0,200,1673.651478
-189.0,189,1678.474912
-162.0,162,1682.244672
-200.0,200,1686.676733
-167.0,167,1690.412308
-185.0,185,1694.678843
-181.0,181,1698.640407
-200.0,200,1703.129332
-200.0,200,1708.01687
-200.0,200,1712.561149
-172.0,172,1716.018182
-152.0,152,1719.131572
-149.0,149,1722.337404
-133.0,133,1725.651667
-85.0,85,1727.409772
-169.0,169,1731.448923
-159.0,159,1734.862573
-154.0,154,1738.462384
-185.0,185,1742.212043
-184.0,184,1746.367033
-153.0,153,1749.805776
-165.0,165,1753.359729
-89.0,89,1755.486121
-92.0,92,1757.645125
-156.0,156,1760.783395
-188.0,188,1764.437941
-178.0,178,1768.226835
-172.0,172,1771.827555
-168.0,168,1775.769827
-168.0,168,1779.3484
-160.0,160,1782.483412
-162.0,162,1785.776089
-184.0,184,1789.262251
-187.0,187,1793.156928
-200.0,200,1798.046356
-164.0,164,1801.782369
-200.0,200,1806.311857
-200.0,200,1811.118439
-200.0,200,1816.098383
-200.0,200,1821.083027
-200.0,200,1825.890266
-200.0,200,1830.762543
-200.0,200,1835.346721
-179.0,179,1839.773067
-197.0,197,1844.085737
-200.0,200,1848.427891
-189.0,189,1852.887543
-200.0,200,1857.958025
-149.0,149,1861.836506
-200.0,200,1866.23932
-200.0,200,1871.122452
-200.0,200,1875.728122
-200.0,200,1880.549172
-200.0,200,1885.434518
-200.0,200,1889.408263
-200.0,200,1893.673697
-164.0,164,1897.283271
-165.0,165,1901.190953
-200.0,200,1904.943432
-200.0,200,1908.54555
-200.0,200,1912.671926
-200.0,200,1916.835688
-200.0,200,1920.46938
-200.0,200,1924.52444
-200.0,200,1928.432294
-200.0,200,1932.468405
-200.0,200,1936.671761
-200.0,200,1941.013598
-200.0,200,1945.251997
-164.0,164,1948.993173
-168.0,168,1952.030097
-170.0,170,1955.792513
-200.0,200,1959.781487
-190.0,190,1963.892531
-200.0,200,1968.290466
-200.0,200,1972.562906
-200.0,200,1976.13624
-200.0,200,1979.513999
-200.0,200,1983.217162
