#{"t_start": 1733298205.2908344, "env_id": "LunarLander-v3"}
r,l,t
-96.597554,64,3.686004
-284.540627,91,4.072043
-202.947533,119,4.263861
-101.850525,89,4.42096
-218.523873,80,4.547536
-362.546746,89,4.799952
-94.038175,98,4.963734
40.782614,77,5.080957
-228.594372,82,5.204036
-116.416996,67,5.327269
-230.002206,94,5.451762
-118.837271,120,5.691275
-145.126465,92,5.853183
-67.305702,65,5.967968
-299.139669,131,6.191583
-112.176849,72,6.312424
-222.230945,89,6.464872
-117.537345,65,6.584878
-65.909767,77,6.699918
-255.126272,113,6.866977
-176.134278,90,7.025861
-159.684965,90,7.197686
-29.01753,112,7.414511
-200.983371,80,7.5386
-128.234531,109,7.743648
-165.343485,74,7.868801
-13.321707,99,8.028927
-121.901332,79,8.175488
-122.488899,80,8.300617
-123.454649,99,8.46913
-199.497469,74,8.585417
-95.649673,77,8.707751
-80.816865,83,8.84762
-104.30706,66,8.98909
-257.236714,72,9.144929
-139.391925,74,9.286679
-81.776532,90,9.419261
-99.574642,103,9.587204
-313.231013,106,9.804751
-336.998948,138,10.048292
-226.324196,80,10.176875
-133.485187,96,10.343056
-371.335249,96,10.507083
-316.799952,96,10.687194
-388.277498,95,10.900286
-98.379116,100,11.082992
-226.809611,90,11.21428
-308.29221,74,11.345274
-176.953227,86,11.524059
-153.912238,92,11.64858
-108.274328,68,11.802627
-198.296847,120,12.030735
-349.214009,112,12.215333
-377.533125,81,12.40876
-132.902672,83,12.540663
-135.741814,86,12.705326
-76.133417,66,12.838545
-103.008841,99,13.023606
-156.716441,84,13.159321
-190.919638,137,13.422206
-355.544104,94,13.644258
-135.227705,111,13.827568
-120.345037,64,13.953771
-74.741814,70,14.041181
-103.294863,69,14.167122
-87.761121,91,14.335661
-103.896909,92,14.542076
-130.642046,86,14.662256
-218.389771,79,14.786215
-75.053773,75,14.917601
-219.958073,92,15.103041
-244.070681,93,15.273018
-109.747638,88,15.444181
-316.47831,96,15.625826
-397.471368,96,15.809094
-104.62473,86,15.946621
-91.359959,59,16.067701
27.915265,102,16.239489
-115.240794,86,16.404244
-355.098283,87,16.574911
-105.173896,127,16.792073
-277.020608,87,16.918316
-120.187237,74,17.044202
-96.083733,96,17.268414
-83.940801,69,17.400101
-290.136553,86,17.526492
2.65489,87,17.700195
-75.654617,97,17.833849
-148.242368,104,18.043009
-94.84947,94,18.213112
-216.118853,98,18.37435
-447.838348,136,18.639585
-175.948188,99,18.813037
-145.643801,115,18.98288
-310.896976,102,19.194818
-99.685348,101,19.364516
-121.220031,69,19.506848
-98.909358,79,19.653392
-200.086911,113,19.870452
-95.416786,63,19.99466
-82.593717,88,20.177144
-435.789062,122,20.401202
-373.072709,105,20.632775
-143.113994,96,20.808817
-111.921314,87,20.988442
-105.375041,106,21.221187
-192.842981,97,21.342954
-318.773106,79,21.508534
-376.638787,86,21.642544
-146.080831,65,21.765402
-122.067517,75,23.42971
-130.92255,84,23.981295
-113.081577,105,24.544294
-423.08824,85,25.066709
-163.180203,84,25.599469
-65.257105,74,25.976901
14.897178,148,26.823642
-215.549677,123,27.513386
-72.4634,105,28.049973
-209.412166,93,28.578092
116.585188,1000,34.686685
-58.440897,74,35.228774
-138.447244,65,36.775177
-117.480333,107,39.62577
-171.328388,102,42.377349
-88.539666,72,44.414
-99.704383,99,47.371449
-108.571044,91,50.106799
-138.574222,104,53.107511
-159.236991,112,55.937192
-174.673763,77,58.174715
-111.524535,87,60.713192
-109.454688,78,62.989884
-106.542479,102,65.733474
-119.668665,97,68.332524
7.141948,114,71.581785
-370.200506,67,73.431061
-107.127331,66,75.314628
-52.673285,109,78.2936
