#{"t_start": 1733328529.8499105, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,4.268021
-200.0,200,4.59508
-200.0,200,6.727868
-200.0,200,10.797555
-200.0,200,14.463698
-200.0,200,18.862251
-200.0,200,23.214407
-200.0,200,27.876215
-200.0,200,32.445724
-200.0,200,37.074695
-200.0,200,41.582075
-200.0,200,45.933112
-200.0,200,50.416565
-200.0,200,54.834365
-200.0,200,59.187507
-200.0,200,63.68395
-200.0,200,68.379118
-200.0,200,72.976192
-200.0,200,77.585371
-200.0,200,82.201426
-200.0,200,86.842515
-200.0,200,91.09014
-200.0,200,95.478686
-200.0,200,100.006287
-200.0,200,104.405891
-166.0,166,108.158805
-200.0,200,112.693905
-200.0,200,117.255684
-200.0,200,121.794945
-200.0,200,126.490529
-194.0,194,131.083221
-200.0,200,135.523214
-200.0,200,140.134621
-200.0,200,144.529862
-200.0,200,148.965092
-200.0,200,153.374784
-200.0,200,157.83635
-162.0,162,161.996796
-159.0,159,166.095532
-200.0,200,171.312011
-180.0,180,175.884157
-200.0,200,181.03827
-151.0,151,184.903277
-159.0,159,188.940392
-200.0,200,193.835285
-200.0,200,198.701386
-200.0,200,203.850596
-183.0,183,208.474861
-200.0,200,213.423451
-200.0,200,218.475411
-162.0,162,222.507696
-154.0,154,227.752699
-200.0,200,233.19611
-200.0,200,238.382753
-200.0,200,243.760393
-200.0,200,248.754674
-200.0,200,253.452992
-183.0,183,258.253383
-200.0,200,263.028804
-200.0,200,268.107614
-200.0,200,273.198275
-200.0,200,278.287694
-200.0,200,283.338834
-200.0,200,288.469189
-200.0,200,293.521544
-200.0,200,298.538853
-200.0,200,303.631392
-172.0,172,308.061408
-200.0,200,313.075807
-200.0,200,317.80776
-200.0,200,322.854301
-200.0,200,327.85142
-200.0,200,332.796078
-173.0,173,336.987524
-196.0,196,341.846404
-176.0,176,346.103728
-200.0,200,350.885407
-200.0,200,355.926651
-200.0,200,360.330805
-177.0,177,364.426353
-180.0,180,368.752293
-175.0,175,372.697581
-200.0,200,377.455525
-200.0,200,382.217377
-200.0,200,387.01252
-200.0,200,391.68425
-200.0,200,396.344079
-200.0,200,400.928207
-200.0,200,405.502625
-200.0,200,409.98586
-200.0,200,414.418342
-200.0,200,419.005608
-173.0,173,423.207721
-200.0,200,427.904105
-200.0,200,432.849584
-200.0,200,437.690728
-200.0,200,442.134807
-200.0,200,446.623379
-178.0,178,450.621811
