#{"t_start": 1733244640.7794728, "env_id": "LunarLander-v3"}
r,l,t
-38.953349,143,3.5588
-168.969207,83,3.724321
-81.343165,72,3.85657
-117.783786,106,4.062091
-114.968452,89,4.28075
-130.390309,93,4.507316
-145.391773,73,4.691201
-106.29156,72,4.86482
-234.871128,84,5.063089
-119.734152,83,5.219128
-85.65144,101,5.407566
-170.165629,126,5.646845
-73.51477,72,5.787172
-118.524885,82,5.938757
-123.686686,111,6.173876
-109.698553,99,6.398196
-164.845673,79,6.557137
-204.917969,123,6.811715
-351.618548,114,7.046518
-107.712513,89,7.222528
-282.238578,73,7.356353
-105.175553,75,7.497295
-252.914539,69,7.630648
-117.721406,86,7.801506
-104.858384,120,8.057486
-184.051342,86,8.24284
-251.835398,125,8.558596
-167.85321,72,8.751929
-91.522021,100,8.999871
-111.706857,94,9.260154
-80.655037,102,9.494216
-93.320674,74,9.67037
-103.111262,85,9.860373
-482.563683,126,10.151062
-255.292804,146,10.47298
-46.468048,69,10.634557
-121.937326,105,10.880331
-103.341402,79,11.053044
-140.721753,91,11.256757
-14.461312,94,11.483867
-112.052195,78,11.684917
-85.524404,154,12.045734
-83.598002,97,12.271467
-124.553537,126,12.603716
-429.000499,98,12.867657
-62.865437,61,13.017918
-115.052156,73,13.215724
-95.971767,106,13.477278
-89.16974,75,13.658594
-56.410274,98,13.883382
-90.396908,86,14.092982
-130.612165,89,14.301007
-157.379749,70,14.451668
-45.587159,75,14.616411
-113.104693,122,14.899048
-41.500303,110,15.153995
-91.372209,100,15.380625
-121.041913,114,15.634966
-293.847578,103,15.856504
-97.154727,81,16.081748
-122.748674,82,16.283738
-70.628024,83,16.499743
-123.548404,145,16.870863
-131.600839,88,17.088718
-128.54659,79,17.298764
-218.428185,105,17.568965
-70.933962,65,17.724416
-112.998764,64,17.872718
-74.084543,144,18.212139
-89.122948,79,18.397211
-153.965231,93,18.597481
-184.109827,70,18.758897
-152.296446,104,18.984004
-159.896585,120,19.253736
-85.734098,110,19.505877
-100.118306,81,19.703882
-84.268344,89,19.900444
-190.271599,127,20.203267
-105.318197,73,20.365954
-112.885254,62,20.524684
-82.393712,117,20.83992
-110.154121,87,21.047907
-65.437748,110,21.361637
-131.215955,73,21.539457
-39.718506,70,21.723035
-70.768607,107,21.981907
-99.937077,120,22.257334
-68.986691,176,22.675626
-72.764606,68,22.837918
0.324291,74,23.013782
-119.671641,89,23.239307
-37.609983,125,23.536894
-44.05411,67,23.688663
-199.363129,123,23.964025
-199.28538,72,24.126844
-40.30351,72,24.303169
-74.613817,105,24.556154
-14.893771,88,24.770905
-85.61576,68,24.919675
-92.177984,57,25.047095
-92.050385,105,25.299447
-146.267618,106,25.53485
-37.075933,114,25.783432
-79.492801,66,25.930386
-33.522515,124,26.222272
-123.839264,127,26.519153
-102.5541,88,26.701745
6.876557,74,26.851912
-117.534175,126,27.121776
-81.914794,121,27.381107
-115.174734,78,27.560307
-160.998857,108,27.803149
-63.740619,65,27.950279
-83.149954,90,28.157844
-61.159794,108,28.427648
-69.816554,78,28.64456
-84.98688,102,28.906733
-82.417254,109,29.218017
-9.331598,111,29.541885
-94.716292,108,29.837478
-126.381313,76,30.02395
-83.34601,97,30.281929
-340.907322,97,30.520166
-78.678347,76,30.699323
-68.304472,67,30.853656
-86.195057,58,30.973743
-120.628658,63,31.117865
-59.270116,71,31.283041
-39.505761,70,31.447644
-77.589331,76,31.620049
-66.101459,75,31.792094
-95.112968,117,32.077621
-53.537304,104,32.321653
-197.0087,141,32.654046
-140.693995,127,32.981594
-115.660949,86,33.188149
-115.344171,100,33.433406
-50.17125,131,33.740296
-93.069422,73,33.914738
-89.502463,93,34.123004
-140.901494,115,34.403885
-70.333778,67,34.554443
-131.157712,82,34.741668
-118.075138,103,34.980935
-62.711741,71,35.134242
-85.993307,76,35.302433
-66.010038,64,35.448273
-47.693122,69,35.602745
-129.486422,145,35.941273
-123.611902,71,36.108871
-50.67924,71,36.270843
-14.10971,84,36.467658
-282.369254,100,36.709632
-89.855398,83,36.913305
-101.290101,99,37.166048
-115.046474,59,37.321014
-72.826911,73,37.499335
-78.664783,131,37.802876
-95.056185,110,38.069762
-145.846221,125,38.350445
-47.409819,74,38.531771
-100.053718,75,38.704879
-109.856178,110,38.949551
-4.402756,80,39.134636
-80.878216,64,39.296118
-103.902486,85,39.532589
-54.814143,73,39.714566
-56.763066,70,39.875972
-76.132063,69,40.05637
-47.925422,139,40.398322
-89.324402,114,40.67447
-118.943077,81,40.887214
-70.829561,100,41.148868
-70.756393,85,41.353337
-16.957699,160,41.769147
-33.658169,71,41.933603
-67.930274,71,42.099355
-90.884962,114,42.364244
-57.712528,81,42.553684
-51.471759,128,42.844624
-114.783941,103,43.068475
-3.701778,1000,45.316427
-114.052337,98,45.542027
-5.814482,71,45.697989
-61.193627,111,45.9626
-71.438343,118,46.229285
-74.679954,127,46.494039
-227.334952,102,46.712716
-59.502375,67,46.862103
-46.159728,109,47.083025
-73.065513,98,47.286599
-37.431413,78,47.483287
-30.04832,94,47.703319
-69.325815,115,47.967005
-81.698679,89,48.184357
-75.588148,67,48.332646
-41.201778,65,48.477724
-93.935268,73,48.630946
-28.66446,80,48.808422
-261.107756,145,49.133635
-135.572937,132,49.466947
-55.473522,122,49.802741
-50.458128,124,50.086686
-53.478677,105,50.352354
-86.022378,90,50.560387
-76.84608,97,50.782938
-56.490114,97,51.002907
-123.65255,93,51.223024
-49.636639,106,51.467102
-76.609725,92,51.682858
-38.202015,135,52.008576
-26.517674,72,52.185694
-41.368769,82,52.382579
-56.794303,85,52.584541
9.678432,126,52.896542
-63.522219,119,53.192195
-70.445569,125,53.52506
-123.563094,109,53.804649
-37.088921,83,54.001306
-137.424402,93,54.236256
28.142724,124,54.557465
-74.053618,65,54.71498
-66.006897,121,55.005501
-32.52213,90,55.216472
-42.307051,69,55.373483
-7.31031,86,55.57532
-107.508301,81,55.783272
-77.679429,127,56.077346
-80.653965,97,56.313058
-95.527454,87,56.531787
-85.895298,99,56.762955
-23.596851,139,57.140803
-68.858495,90,57.370471
-13.786996,111,57.663757
-111.759844,92,57.915479
-26.221324,80,58.106303
-20.655425,89,58.338966
-48.157577,70,58.516032
-7.292886,80,58.704719
-63.911243,119,58.98946
-95.983393,84,59.201003
-7.805922,89,59.42363
18.032187,108,59.695923
-51.005679,84,59.900905
-63.212898,117,60.186223
-48.274173,71,60.368451
-52.592897,101,60.606739
-17.911239,142,60.980927
-56.39678,68,61.146015
-52.741244,78,61.379282
-39.327225,109,61.679081
-135.783806,107,61.943613
-28.667801,147,62.310414
-26.361764,92,64.685816
-44.5781,96,64.918821
-5.121968,125,65.231931
-79.578286,135,65.564928
15.556069,138,65.93867
-28.65699,80,66.118519
-222.814229,109,66.358749
-46.860847,90,66.548118
-37.69384,120,66.807812
