#{"t_start": 1733238659.2027209, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.178874
-200.0,200,3.188394
-200.0,200,3.195743
-200.0,200,3.213066
-200.0,200,3.221789
-200.0,200,4.531137
-200.0,200,4.751778
-200.0,200,4.957559
-200.0,200,5.264758
-200.0,200,5.470786
-200.0,200,5.713177
-200.0,200,5.903118
-200.0,200,6.098453
-200.0,200,6.282015
-200.0,200,6.482317
-200.0,200,6.674948
-200.0,200,6.870989
-200.0,200,7.051683
-200.0,200,7.244037
-200.0,200,7.416123
-200.0,200,7.621225
-200.0,200,7.827578
-200.0,200,8.030105
-200.0,200,8.210829
-200.0,200,8.413955
-200.0,200,8.638508
-200.0,200,8.889391
-200.0,200,9.139489
-200.0,200,9.36251
-200.0,200,9.554699
-200.0,200,9.78531
-200.0,200,10.005686
-200.0,200,10.229611
-200.0,200,10.425841
-200.0,200,10.650876
-200.0,200,10.851151
-200.0,200,11.058547
-200.0,200,11.258814
-200.0,200,11.469027
-200.0,200,11.665832
-200.0,200,11.879898
-200.0,200,12.10387
-200.0,200,12.363908
-200.0,200,12.578892
-200.0,200,12.827108
-200.0,200,13.057091
-200.0,200,13.263058
-200.0,200,13.462844
-200.0,200,13.685044
-200.0,200,13.887407
-200.0,200,14.112748
-200.0,200,14.360191
-200.0,200,14.59865
-200.0,200,14.800708
-200.0,200,15.009148
-200.0,200,15.201361
-200.0,200,15.397944
-200.0,200,15.582256
-200.0,200,15.787759
-200.0,200,15.989374
-200.0,200,16.22522
-200.0,200,16.45983
-200.0,200,16.731152
-200.0,200,16.987792
-200.0,200,17.223001
-200.0,200,17.425058
-200.0,200,17.624665
-200.0,200,17.812754
-200.0,200,18.029833
-200.0,200,18.233363
-200.0,200,18.476233
-200.0,200,18.704423
-200.0,200,18.93117
-200.0,200,19.119045
-200.0,200,19.318435
-200.0,200,19.515973
-200.0,200,19.720476
-200.0,200,19.901662
-200.0,200,20.128002
-200.0,200,20.327782
-200.0,200,20.548048
-200.0,200,20.749634
-200.0,200,20.975541
-200.0,200,21.165881
-200.0,200,21.373363
-200.0,200,21.579225
-200.0,200,21.823076
-200.0,200,22.03914
-200.0,200,22.267495
-200.0,200,22.477964
-200.0,200,22.688151
-200.0,200,22.890444
-200.0,200,23.123945
-200.0,200,23.332941
-200.0,200,23.549951
-200.0,200,23.757596
-200.0,200,24.02232
-200.0,200,24.274157
-200.0,200,24.538372
-200.0,200,24.762741
-200.0,200,25.007415
-200.0,200,25.274627
-200.0,200,25.54781
-200.0,200,25.774775
-200.0,200,26.026884
-200.0,200,26.273986
-200.0,200,26.52254
-200.0,200,26.746176
-200.0,200,26.978733
-200.0,200,27.207901
-200.0,200,27.465525
-200.0,200,27.712995
-200.0,200,27.966489
-200.0,200,28.213083
-200.0,200,28.474525
-200.0,200,28.702426
-200.0,200,28.944649
-200.0,200,29.174196
-200.0,200,29.413154
-200.0,200,29.646575
-200.0,200,29.921333
-200.0,200,30.201197
-200.0,200,30.469002
-200.0,200,30.723958
-200.0,200,30.970292
-200.0,200,31.645492
-200.0,200,31.955402
-200.0,200,32.222186
-200.0,200,32.512091
-200.0,200,32.745104
-200.0,200,32.999484
-200.0,200,33.246819
-200.0,200,33.515239
-200.0,200,33.754087
-200.0,200,34.039802
-200.0,200,34.310102
-200.0,200,34.567129
-200.0,200,34.821523
-200.0,200,35.098133
-200.0,200,35.344277
-200.0,200,35.61448
-200.0,200,35.886312
-200.0,200,36.160084
-200.0,200,36.414356
-200.0,200,36.677107
-200.0,200,36.903281
-200.0,200,37.164252
-200.0,200,37.407867
-200.0,200,37.664022
-200.0,200,37.890876
-200.0,200,38.15123
-200.0,200,38.390761
-200.0,200,38.672169
-200.0,200,38.921241
-200.0,200,39.175295
-200.0,200,39.408038
-200.0,200,39.655143
-200.0,200,39.905368
-200.0,200,40.171982
-200.0,200,40.420046
-200.0,200,40.685839
-200.0,200,40.958828
-200.0,200,41.275293
-200.0,200,41.538067
-200.0,200,41.809487
-200.0,200,42.048808
-200.0,200,42.319005
-200.0,200,42.562303
-200.0,200,42.823066
-200.0,200,43.083947
-200.0,200,43.337651
-200.0,200,43.583591
-200.0,200,43.869453
-200.0,200,44.126584
-200.0,200,44.380873
-200.0,200,44.625043
-200.0,200,44.897622
-200.0,200,45.191201
-200.0,200,45.482499
-200.0,200,45.725487
-200.0,200,46.001301
-200.0,200,46.248279
-200.0,200,46.53196
-200.0,200,46.783145
-200.0,200,47.047876
-200.0,200,47.314827
-200.0,200,47.6183
-200.0,200,47.89064
-200.0,200,48.170599
-200.0,200,48.438756
-200.0,200,48.696176
-200.0,200,48.942671
-200.0,200,49.191751
-200.0,200,49.424763
-200.0,200,49.704573
-200.0,200,49.954242
-200.0,200,50.205922
-200.0,200,50.459952
-200.0,200,50.712074
-200.0,200,50.940933
-200.0,200,51.213995
-200.0,200,51.487484
-200.0,200,51.800068
-200.0,200,52.097097
-200.0,200,52.356166
-200.0,200,52.6015
-200.0,200,52.871904
-200.0,200,53.127051
-200.0,200,53.408784
-200.0,200,53.660021
-200.0,200,53.944298
-200.0,200,54.235068
-200.0,200,54.511894
-200.0,200,54.788484
-200.0,200,55.072606
-200.0,200,55.314499
-200.0,200,55.593703
-200.0,200,55.875288
-200.0,200,56.170591
-200.0,200,56.428742
-200.0,200,56.678068
-200.0,200,56.893188
-200.0,200,57.168614
-200.0,200,57.423908
-200.0,200,57.700198
-200.0,200,57.954817
-200.0,200,58.208431
-200.0,200,58.460083
-200.0,200,58.707936
-200.0,200,58.963966
-200.0,200,59.268907
-200.0,200,59.54024
-200.0,200,59.838525
-200.0,200,60.112365
-200.0,200,60.407065
-200.0,200,60.65247
-200.0,200,60.926358
-200.0,200,61.163275
-200.0,200,61.436611
-200.0,200,61.690859
-200.0,200,61.958678
-200.0,200,62.214656
-200.0,200,62.482672
-200.0,200,62.747866
-200.0,200,63.03556
-200.0,200,63.303768
-200.0,200,63.612358
-200.0,200,63.876412
-200.0,200,64.157478
-200.0,200,64.405366
-200.0,200,65.098216
-200.0,200,65.354556
-200.0,200,65.626556
-200.0,200,65.865709
-200.0,200,66.114337
-200.0,200,66.375736
-200.0,200,66.638023
-200.0,200,66.91058
-200.0,200,67.232801
-200.0,200,67.514529
-200.0,200,67.81471
-200.0,200,68.094138
-200.0,200,68.390281
-200.0,200,68.671137
-200.0,200,68.952657
-200.0,200,69.214361
-200.0,200,69.507574
-200.0,200,69.801809
-200.0,200,70.110514
-200.0,200,70.391999
-200.0,200,70.694549
-200.0,200,70.989031
-200.0,200,71.314774
-200.0,200,71.636649
-200.0,200,71.930154
-200.0,200,72.212109
-200.0,200,72.512967
-200.0,200,72.807312
-200.0,200,73.091828
-200.0,200,73.372915
-200.0,200,73.674814
-200.0,200,73.965111
-200.0,200,74.249673
-200.0,200,74.527194
-200.0,200,74.827192
-200.0,200,75.123903
-200.0,200,75.436939
-200.0,200,75.731025
-200.0,200,76.05726
-200.0,200,76.341843
-200.0,200,76.639796
-200.0,200,76.939892
-200.0,200,77.220905
-200.0,200,77.470789
-200.0,200,77.752337
-200.0,200,78.012533
-200.0,200,78.326145
-200.0,200,78.599301
-200.0,200,78.919481
-200.0,200,79.204435
-200.0,200,79.512747
-200.0,200,79.79452
-200.0,200,80.094687
-200.0,200,80.364397
-200.0,200,80.649294
-200.0,200,80.908824
-200.0,200,81.192524
-200.0,200,81.46982
-200.0,200,81.774746
-200.0,200,82.04286
-200.0,200,82.328521
-200.0,200,82.594401
-200.0,200,82.897909
-200.0,200,83.15383
-200.0,200,83.433776
-200.0,200,83.687276
-200.0,200,83.969705
-200.0,200,84.242137
-200.0,200,84.542426
-200.0,200,84.845427
-200.0,200,85.139606
-200.0,200,85.419648
-200.0,200,85.727199
-200.0,200,86.015734
-200.0,200,86.328779
-200.0,200,86.619108
-200.0,200,86.95176
-200.0,200,87.300319
-200.0,200,87.608227
-200.0,200,87.915936
-200.0,200,88.223498
-200.0,200,88.519659
-200.0,200,88.812073
-200.0,200,89.094873
-200.0,200,89.415505
-200.0,200,89.687639
-200.0,200,89.995709
-200.0,200,90.281413
-200.0,200,90.590826
-200.0,200,90.886489
-200.0,200,91.219193
-200.0,200,91.538567
-200.0,200,91.84898
-200.0,200,92.122177
-200.0,200,92.44164
-200.0,200,92.731649
-200.0,200,93.042465
-200.0,200,93.321098
-200.0,200,93.633765
-200.0,200,93.92069
-200.0,200,94.227964
-200.0,200,94.523392
-200.0,200,94.844184
-200.0,200,95.145368
-200.0,200,95.432584
-200.0,200,95.725757
-200.0,200,96.064951
-200.0,200,96.375253
-200.0,200,96.687025
-200.0,200,96.979632
-200.0,200,97.309261
-200.0,200,97.616851
-200.0,200,97.955357
-200.0,200,98.26089
-200.0,200,98.582541
-200.0,200,98.877692
-200.0,200,99.189562
-200.0,200,99.484459
-200.0,200,99.813712
-200.0,200,100.104094
-200.0,200,100.423031
-200.0,200,100.726874
-200.0,200,101.048993
-200.0,200,101.355363
-200.0,200,101.681239
-200.0,200,102.426208
-200.0,200,102.7931
-200.0,200,103.137488
-200.0,200,103.486011
-200.0,200,103.786247
-200.0,200,104.081846
-200.0,200,104.350617
-200.0,200,104.641553
-200.0,200,104.908958
-200.0,200,105.20706
-200.0,200,105.495859
-200.0,200,105.760541
-200.0,200,106.04028
-200.0,200,106.330508
-200.0,200,106.629706
-200.0,200,106.940824
-200.0,200,107.207476
-200.0,200,107.505947
-200.0,200,107.80246
-200.0,200,108.111191
-200.0,200,108.378275
-200.0,200,108.663934
